# Horizontal Translation, Vertical Translation, Rotation
-0.00039,1.04258,0.00000
-0.00036,1.12873,0.00000
0.00102,1.05322,0.00000
-0.00065,1.01234,0.00000
0.00132,1.07192,0.00000
0.00146,1.06674,0.00000
0.00242,1.49134,0.00000
0.00334,1.06517,0.00000
0.00493,1.02289,0.00000
0.00375,0.91644,0.00000
0.00695,1.00469,0.00000
0.00700,0.99674,0.00000
0.00683,0.92212,0.00000
0.00685,0.93915,0.00000
0.00806,0.95449,0.00000
0.00855,0.88366,0.00000
0.01055,0.96476,0.00000
0.00925,0.86889,0.00000
0.01051,0.89242,0.00000
0.01072,0.88355,0.00000
0.01760,1.33643,0.00000
0.01210,0.85152,0.00000
0.01200,0.84027,0.00000
0.01308,0.83075,0.00000
0.01351,0.82385,0.00000
0.01394,0.84409,0.00000
0.01375,0.81105,0.00000
0.01326,0.77069,0.00000
0.01504,0.80806,0.00000
0.01488,0.77358,0.00000
0.01558,0.76520,0.00000
0.01709,0.80645,0.00000
0.01583,0.75009,0.00000
0.01400,0.71998,0.00000
0.01691,0.76112,0.00000
0.02325,1.08094,0.00000
0.01527,0.74322,0.00000
0.01514,0.69461,0.00000
0.01713,0.73403,0.00000
0.01601,0.70431,0.00000
0.01627,0.71795,0.00000
0.01596,0.68695,0.00000
0.01571,0.65772,0.00000
0.01634,0.69302,0.00000
0.01570,0.64548,0.00000
0.01694,0.66002,0.00000
0.01686,0.67363,0.00000
0.01579,0.64409,0.00000
0.02761,1.12373,0.00000
0.01205,0.43841,0.00000
0.01628,0.59654,0.00000
0.01820,0.58691,0.00000
0.02062,0.56214,0.00000
0.02509,0.60968,0.00000
0.02502,0.56745,0.00000
0.02594,0.56168,0.00000
0.02604,0.57144,0.00000
0.02296,0.53021,0.00000
0.02279,0.55503,0.00000
0.01869,0.53325,0.00000
0.01529,0.52406,0.00000
0.01316,0.51831,0.00000
0.00859,0.52653,0.00000
0.00868,0.73382,0.00000
0.00202,0.50897,0.00000
-0.00160,0.47264,0.00000
-0.00452,0.49611,0.00000
-0.00591,0.47349,0.00000
-0.01156,0.48467,0.00000
-0.01029,0.44919,0.00000
-0.01581,0.47177,0.00000
-0.01672,0.45340,0.00000
-0.01621,0.43460,0.00000
-0.01523,0.45582,0.00000
-0.01101,0.43726,0.00000
-0.01454,0.63978,0.00000
-0.00848,0.43636,0.00000
-0.00763,0.42067,0.00000
-0.00993,0.40668,0.00000
-0.00947,0.42911,0.00000
-0.00837,0.42884,0.00000
-0.00960,0.40026,0.00000
-0.00850,0.41326,0.00000
-0.00873,0.42351,0.00000
-0.00770,0.40984,0.00000
-0.00829,0.40910,0.00000
-0.00901,0.48139,0.00000
-0.00561,0.35555,0.00000
-0.00699,0.41637,0.00000
-0.00505,0.39972,0.00000
-0.00579,0.38865,0.00000
-0.00765,0.61609,0.00000
-0.00314,0.39720,0.00000
-0.00329,0.38220,0.00000
-0.00453,0.40542,0.00000
-0.00141,0.40383,0.00000
-0.00255,0.37673,0.00000
-0.00016,0.39924,0.00000
-0.00006,0.37388,0.00000
0.00003,0.39396,0.00000
0.00251,0.39292,0.00000
0.00092,0.37902,0.00000
0.00277,0.36500,0.00000
0.00305,0.38574,0.00000
0.00446,0.37278,0.00000
0.00717,0.54941,0.00000
0.00540,0.36742,0.00000
0.00510,0.36325,0.00000
0.00542,0.35797,0.00000
0.00545,0.36302,0.00000
0.00741,0.34985,0.00000
0.00876,0.33292,0.00000
0.00805,0.33888,0.00000
0.00902,0.34421,0.00000
0.00582,0.32711,0.00000
0.00426,0.33138,0.00000
0.00243,0.32322,0.00000
-0.00156,0.29978,0.00000
-0.00567,0.44626,0.00000
-0.00791,0.29401,0.00000
-0.00998,0.28804,0.00000
-0.01440,0.29189,0.00000
-0.01420,0.26956,0.00000
-0.01907,0.27404,0.00000
-0.02096,0.27590,0.00000
-0.02356,0.27174,0.00000
-0.02308,0.25153,0.00000
-0.02764,0.26224,0.00000
-0.02904,0.25803,0.00000
-0.02897,0.23138,0.00000
-0.03057,0.25021,0.00000
-0.03317,0.24615,0.00000
-0.03074,0.22837,0.00000
-0.05194,0.35786,0.16575
-0.03332,0.21895,0.16656
-0.03479,0.22451,0.15685
-0.03680,0.22581,0.17077
-0.03561,0.21735,0.16126
-0.03531,0.21481,0.17144
-0.03570,0.21128,0.17432
-0.03601,0.20965,0.15969
-0.03543,0.20597,0.17593
-0.03738,0.21653,0.16920
-0.03516,0.20121,0.17483
-0.03268,0.18745,0.18009
-0.03569,0.20166,0.16710
-0.03481,0.19971,0.17081
-0.04821,0.27900,0.19466
-0.03370,0.19385,0.18009
-0.03286,0.18807,0.16903
-0.03224,0.18371,0.19421
-0.03308,0.19506,0.18425
-0.03036,0.17847,0.20055
-0.02855,0.16743,0.20031
-0.02943,0.18895,0.18733
-0.02954,0.17545,0.18382
-0.02804,0.17299,0.18486
-0.02821,0.17231,0.18400
-0.02593,0.17044,0.20137
-0.02722,0.16857,0.18501
-0.02461,0.16644,0.20116
-0.03428,0.24584,0.20157
-0.02156,0.16435,0.18771
-0.02037,0.16446,0.16471
-0.01988,0.17037,0.19265
-0.01779,0.15979,0.20089
-0.01768,0.16512,0.17951
-0.01833,0.17048,0.16642
-0.02024,0.16724,0.19943
-0.02483,0.17104,0.21288
-0.03194,0.16532,0.20095
-0.03742,0.15543,0.18450
-0.05073,0.16672,0.25125
-0.05907,0.15128,0.26890
-0.12531,0.19963,0.29631
-0.14978,0.12842,0.29065
-0.22019,0.11429,0.24694
-0.30398,0.10577,0.36863
-0.39205,0.09776,0.44247
-0.48206,0.08917,0.43617
-0.58191,0.08719,0.65971
-0.64146,0.07851,0.72692
-0.70607,0.07671,0.72748
-0.73666,0.07030,0.94081
-0.83127,0.07380,0.92759
-0.86820,0.06922,0.91214
-0.86949,0.05972,0.92598
-0.86336,0.05402,0.91161
-0.90954,0.05129,0.94957
-1.36621,0.07343,1.44477
-0.96022,0.04377,0.98280
-0.93920,0.03973,0.94957
-0.95014,0.04507,0.95140
-0.95550,0.04755,0.94791
-0.98813,0.04304,0.94791
-0.92822,0.03589,1.02626
-0.98629,0.03548,0.94074
-0.95686,0.02939,0.95295
-0.96152,0.02327,0.95099
-0.99441,0.01593,0.94220
-0.95698,0.00858,0.64089
-0.95141,0.00306,0.63792
-1.44582,-0.00274,1.88786
-0.94955,-0.01613,1.37743
