# Horizontal Translation, Vertical Translation, Rotation
0.38274,1.80307,0.00000
0.53436,1.72094,0.00000
0.51828,1.51477,0.00000
0.40773,1.50627,0.00000
0.03292,2.28629,0.00000
-0.38086,1.94538,0.00000
-0.38344,2.08338,0.00000
-0.55913,2.06480,0.00000
-0.67681,2.05922,0.00000
-0.74488,2.09787,0.00000
1.52060,0.81334,-1.83502
3.05184,2.44892,-3.45771
3.39069,4.27384,-1.60021
0.49712,3.26170,0.00000
-1.15403,3.34944,0.00000
-1.81442,2.98386,0.00000
-2.60340,3.64150,0.00000
-1.00279,0.20130,0.28984
0.76526,3.83958,-3.36438
0.63357,1.68105,-1.72746
0.19473,3.08521,-0.96953
-0.75147,3.19462,0.00000
-1.69459,3.53935,0.00000
-1.52693,3.41624,0.00000
-0.80549,4.14967,0.00000
-0.56367,3.93100,0.00000
0.28345,4.43890,0.00000
0.34883,4.60607,0.00000
0.20979,4.15567,0.00000
0.05955,3.93269,0.00000
-0.24065,3.73663,0.00000
0.14102,3.23554,0.00000
-0.18981,5.03641,0.00000
-0.09493,3.93585,0.00000
0.45951,6.15046,0.00000
2.06570,5.46844,0.00000
2.97304,5.27403,0.00000
3.54281,4.97172,0.00000
3.26461,4.64884,0.00000
2.99561,4.59090,0.00000
2.38802,7.32782,0.00000
-0.27087,5.19490,0.00000
-1.39075,4.56357,0.00000
-0.44402,4.15840,0.00000
-0.45148,4.21722,0.00000
-0.18401,3.91540,0.00000
0.04706,4.55476,0.00000
-0.91830,5.83982,0.00000
-0.95575,5.80428,0.00000
1.67836,5.93370,-2.68376
3.13003,5.79553,-4.27302
-0.68214,7.12117,0.00000
-3.70917,6.67881,0.00000
-3.53075,5.77377,0.00000
0.68145,3.34958,-4.47983
2.21364,2.81220,-1.71543
1.48143,3.64060,0.00000
-0.13215,3.65271,0.00000
-0.37615,3.88897,0.00000
-0.55969,3.83720,0.00000
-0.03922,6.80335,0.00000
0.45039,5.85735,0.00000
2.10701,5.82132,0.00000
2.31227,6.56223,0.00000
1.45816,6.42445,0.00000
0.90435,7.57839,0.00000
-1.00131,7.41807,0.00000
-0.92908,4.29597,0.00000
-0.82924,3.96484,0.00000
-0.63212,3.72535,0.00000
-0.60429,3.62426,0.00000
-0.07956,3.69326,0.00000
0.49749,4.21026,0.00000
0.47234,4.15018,0.00000
0.27061,4.17687,0.00000
0.21726,4.00046,0.00000
0.67561,4.58917,0.00000
0.35259,4.46444,0.00000
0.64570,4.12360,0.00000
0.46373,3.71684,0.00000
0.37772,3.36309,0.00000
-1.22419,4.24406,1.28733
-0.60865,1.30662,1.49944
0.07223,1.90306,0.50953
1.22313,1.96695,-0.21481
1.07848,2.70780,-0.38622
1.75436,2.59744,0.00000
1.21471,2.23281,0.00000
0.56915,2.30330,0.00000
-0.66947,3.45977,0.00000
-1.39431,2.92308,0.00000
-1.45571,2.59410,0.00000
-1.62929,2.58784,0.00000
-1.98095,2.82384,0.00000
-1.99517,3.07355,0.00000
-2.20577,2.84189,0.00000
-1.65949,2.42980,0.00000
-1.02152,2.30796,0.00000
-0.70171,1.82115,0.00000
-0.69046,1.68572,0.00000
-0.13356,1.58618,0.00000
-1.03718,1.35058,0.00000
-0.85867,0.70261,0.16163
-0.74762,0.22269,0.29531
-0.85402,0.46946,0.21804
-0.77146,0.02623,0.25827
-0.97393,-0.13674,0.36733
-1.21551,-0.04745,0.41394
-1.24111,-0.49654,0.44965
-0.98935,-0.52539,0.39098
-0.71538,-1.05622,0.22481
-0.65025,-1.04799,0.00000
-0.42147,-1.40370,0.00000
-0.60246,-1.65994,0.00000
-0.64669,-1.55442,0.00000
-7.15370,-2.78173,1.67743
-8.60791,-2.53964,3.62148
-8.20562,-2.51781,5.97700
-8.62065,-4.09480,8.00623
-8.66910,-7.78155,5.77821
-10.01892,-7.31354,8.93517
-10.94318,-5.82012,5.74238
-11.04430,-8.73562,9.55206
-5.75545,-6.20704,4.81958
-8.66229,-2.99764,4.73615
-5.50882,-5.74509,1.11843
-5.32718,-5.53380,2.30915
-7.67487,-3.17508,5.78149
-6.06819,-5.36611,3.88409
-12.73979,-5.27919,9.00041
-5.15547,-5.06495,2.92330
-7.57186,-1.71407,4.63325
-6.86949,-1.93183,4.27938
-7.11682,-3.41124,3.10821
-9.75856,-0.20356,5.03203
-5.75832,-3.00237,3.23773
-8.01195,-2.33836,4.26156
-8.05320,-1.26867,4.62951
-4.12471,-2.72195,1.76244
-2.16248,-2.58672,-0.34446
-1.13541,-2.73433,0.00000
-2.56141,-3.69442,0.00000
-10.26615,1.08113,4.84234
-7.44593,-2.32527,3.52856
-4.38074,-2.08746,0.00000
-3.00966,-1.76231,0.00000
-2.52418,-2.20653,0.00000
-2.73861,-2.51805,0.00000
-4.50153,-4.95656,0.00000
-12.16427,-2.98826,0.00000
-14.31984,-2.85735,0.00000
-5.76874,-3.56278,0.00000
1.83589,-4.78901,-0.67034
8.83198,1.97622,-6.07246
11.40966,-0.83170,-7.24292
2.30842,-1.19824,-1.69874
-4.01995,-0.48481,0.00000
-2.50834,-1.72035,0.00000
-3.99340,-2.98230,0.00000
-5.15304,-3.62457,0.00000
-4.40470,-3.84284,0.00000
-3.77646,-4.12416,0.00000
-3.49504,-3.82240,0.00000
-3.17915,-3.28906,0.00000
-2.91478,-2.80789,0.00000
-2.84818,-2.25091,0.00000
-2.64726,-1.78463,0.00000
-2.83002,-1.25492,0.00000
-3.31981,-0.70554,0.00000
-3.71549,-0.33331,0.00000
-3.88948,-0.10249,0.00000
-4.11722,0.06467,0.00000
-4.31774,0.16558,0.00000
-4.69777,0.25142,0.00000
-4.74257,0.23636,0.00000
-4.61687,0.77487,0.00000
-4.69842,0.90125,0.00000
-4.26204,0.90893,0.00000
-4.13836,0.99748,0.00000
-3.55699,0.70654,0.00000
1.07413,1.36270,-2.01961
4.61237,2.52774,-3.91586
2.15613,2.14471,-2.15753
-0.55556,3.05230,-1.04008
-3.77660,3.01897,0.00000
-5.96659,2.64495,0.00000
-6.96587,2.58947,0.00000
-7.35360,2.45624,0.00000
-7.12700,2.07940,0.00000
-6.41538,1.82538,0.00000
-5.95443,1.69987,0.00000
