# Horizontal Translation,Vertical Translation,Rotation
-0.02125,5.67475,0.00000
-0.01752,5.63051,0.00000
-0.01612,6.74701,0.00000
-0.00987,5.74190,0.00000
-0.01298,5.67014,0.00000
-0.00710,5.67933,0.00000
-0.00634,6.68660,0.00000
-0.00218,5.72029,0.00000
-0.00380,5.65694,0.00000
-0.00137,5.66396,0.00000
0.00318,5.73712,0.00000
0.00506,6.59904,0.00000
0.00603,5.67781,0.00000
0.00100,5.71497,0.00000
0.00285,5.65401,0.00000
0.00748,5.69307,0.00000
0.01253,6.73437,0.00000
0.01014,5.64444,0.00000
0.00840,5.71937,0.00000
0.00714,5.66767,0.00000
0.01250,6.63068,0.00000
0.00461,5.70305,0.00000
0.00836,5.65435,0.00000
0.01083,5.62472,0.00000
0.01021,5.60811,0.00000
0.01505,6.70226,0.00000
0.01464,5.54696,0.00000
0.01832,5.60237,0.00000
0.01378,5.66314,0.00000
0.01556,5.65393,0.00000
0.01978,6.58463,0.00000
0.01774,5.54581,0.00000
0.01888,5.65513,0.00000
0.01966,5.66220,0.00000
0.02007,6.52813,0.00000
0.01948,5.66833,0.00000
0.02199,5.65487,0.00000
0.01954,5.59108,0.00000
0.01748,5.59138,0.00000
0.01714,6.53184,0.00000
0.01657,5.68492,0.00000
0.01482,5.57657,0.00000
0.01454,5.58560,0.00000
0.01965,6.62845,0.00000
0.01871,5.58210,0.00000
0.01921,5.64711,0.00000
0.02055,5.59872,0.00000
0.01781,5.63904,0.00000
0.01775,6.44619,0.00000
0.01631,5.61472,0.00000
0.01955,5.60861,0.00000
0.01861,5.54653,0.00000
0.02900,6.54287,0.00000
0.02429,5.61297,0.00000
0.01834,5.53818,0.00000
0.02099,5.54678,0.00000
0.02072,5.59804,0.00000
0.02771,6.43159,0.00000
0.01659,5.52116,0.00000
0.01827,5.64892,0.00000
0.01199,5.57353,0.00000
0.00896,5.50993,0.00000
0.01759,6.40608,0.00000
0.01475,5.50585,0.00000
0.01605,5.57447,0.00000
0.01752,5.52399,0.00000
0.02349,6.51204,0.00000
0.01956,5.58591,0.00000
0.02263,5.54093,0.00000
0.01808,5.57610,0.00000
0.01739,5.49584,0.00000
0.02009,6.52692,0.00000
0.01924,5.52336,0.00000
0.01906,5.52360,0.00000
0.01463,5.53000,0.00000
0.01833,5.58620,0.00000
0.01618,6.48471,0.00000
0.01361,5.53305,0.00000
0.01249,5.58881,0.00000
0.01183,5.47316,0.00000
0.01219,6.50472,0.00000
0.01102,5.58991,0.00000
0.00871,5.55675,0.00000
0.01459,5.53873,0.00000
0.01567,6.44406,0.00000
0.01350,5.65382,0.00000
0.01496,5.55360,0.00000
0.01598,5.60839,0.00000
0.01756,5.55470,0.00000
0.01923,6.51503,0.00000
0.01529,5.54040,0.00000
0.01535,5.58510,0.00000
0.01435,5.57827,0.00000
0.01742,5.53387,0.00000
0.01572,6.40630,0.00000
0.01466,5.63361,0.00000
0.01282,5.51218,0.00000
0.01467,5.78937,0.00000
0.00611,6.09983,0.00000
0.00688,5.66686,0.00000
0.00685,5.31154,0.00000
0.00808,5.29282,0.00000
0.00411,5.33610,0.00000
0.01202,5.99686,0.00000
0.01365,5.17273,0.00000
0.01252,5.10920,0.00000
0.01256,5.01584,0.00000
0.01559,5.65225,0.00000
0.01426,4.81245,0.00000
0.01562,4.67549,0.00000
0.01436,4.62421,0.00000
0.01482,4.58339,0.00000
0.01780,5.19157,0.00000
0.01593,4.34439,0.00000
0.01654,4.30155,0.00000
0.01700,4.20264,0.00000
0.01433,3.97234,0.00000
0.01671,4.45262,0.00000
0.00881,3.64492,0.00000
0.00503,3.60385,0.00000
0.00341,3.39430,0.00000
0.00288,3.86455,0.00000
0.00223,3.26067,0.00000
0.00588,3.15624,0.00000
0.00598,3.07358,0.00000
0.00799,2.92711,0.00000
0.01287,3.30364,0.00000
0.01142,2.75435,0.00000
0.01101,2.64124,0.00000
0.01381,2.50416,0.00000
0.01569,2.44752,0.00000
0.01755,2.80174,0.00000
0.01446,2.31046,0.00000
0.01544,2.26554,0.00000
0.01572,2.18191,0.00000
0.01434,2.14577,0.00000
0.01839,2.44768,0.00000
0.01418,2.01919,0.00000
0.00830,1.96016,0.00000
0.00080,1.88745,0.00000
-0.00371,1.85258,0.00000
-0.00988,2.09987,0.00000
-0.01045,1.76100,0.00000
-0.00983,1.69463,0.00000
-0.00762,1.67545,0.00000
-0.00641,1.61527,0.00000
-0.00493,1.83135,0.00000
-0.00150,1.52794,0.00000
0.00043,1.49347,0.00000
0.00463,1.44191,0.00000
0.00503,1.41766,0.00000
0.00940,1.61451,0.00000
0.01030,1.32722,0.00000
0.01126,1.29156,0.00000
0.01336,1.27121,0.00000
0.01478,1.22437,0.00000
0.01652,1.40966,0.00000
0.01460,1.17236,0.00000
0.00823,1.13040,0.00000
-0.00476,1.10232,0.00000
-0.01327,1.10886,0.00000
-0.02553,1.22822,0.00000
-0.02736,1.01446,0.00000
-0.03035,1.00087,0.00000
-0.03137,0.96440,0.00000
-0.03226,0.95133,0.00000
-0.03538,1.10295,0.00000
-0.02961,0.89716,0.00000
-0.02904,0.88702,0.00000
-0.02531,0.85978,0.00000
-0.02318,0.84941,0.00000
-0.02171,0.97005,0.00000
-0.01495,0.81359,0.00000
-0.01269,0.78764,0.00000
-0.00983,0.77204,0.00000
-0.00515,0.76824,0.00000
-0.00291,0.86362,0.00000
-0.00284,0.73600,0.00000
-0.02029,0.71517,0.00000
-0.06745,0.67061,0.00000
-0.15661,0.70622,0.20883
-0.19974,0.54978,0.32615
-0.25375,0.51007,0.48234
-0.28174,0.46410,0.46686
-0.31541,0.45172,0.47086
-0.36496,0.46698,0.47835
-0.32919,0.38905,0.48410
-0.31682,0.35996,0.49155
-0.30755,0.34208,0.48878
-0.34671,0.38110,0.50103
-0.28144,0.30915,0.50013
-0.26615,0.29204,0.50112
-0.25436,0.28354,0.50889
-0.23480,0.26630,0.51192
-0.26654,0.30639,0.50590
-0.20916,0.24471,0.51499
-0.20281,0.24339,0.41110
-0.22424,0.24638,0.37067
-0.79638,0.29478,0.85864
-1.50813,0.20452,1.86332
-2.22626,0.12980,2.70032
-2.50140,0.03327,2.89927
-2.60753,-0.02000,3.26363
-3.22800,-0.04445,3.11978
-2.96191,-0.05490,2.83100
-2.96882,-0.13231,2.93626
-3.02117,-0.14462,3.60518
-3.39474,-0.16396,4.15719
-2.92265,-0.18172,2.81498
-2.96826,-0.12938,2.85190
-2.96008,-0.08371,2.88147
-3.05218,-0.12124,2.83404
-3.51084,-0.13573,4.39248
-3.00681,-0.15782,2.87202
